corpus,pool_dir,file,trace,instance_id,model,metadata_instance_id,n_llm,n_tool,peak_prompt_tokens,sum_prompt_tokens,sum_completion_tokens,llm_s,tool_s,wall_s,bucket
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__mantidproject__mslice-848.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__mantidproject__mslice-848.trace.jsonl,mantidproject__mslice-848,qwen3.7-max,,44,43,24083,620264,10027,335.2,11.1,346.7,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__pydicom__pydicom-965.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__pydicom__pydicom-965.trace.jsonl,pydicom__pydicom-965,qwen3.7-max,,37,43,22622,445308,13243,353.2,10.3,363.7,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__sdispater__pendulum-593.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__sdispater__pendulum-593.trace.jsonl,sdispater__pendulum-593,qwen3.7-max,,28,27,17643,319738,6721,323.4,21.8,345.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__Azure__azure-cli-1876.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__Azure__azure-cli-1876.trace.jsonl,Azure__azure-cli-1876,qwen3.7-max,,28,28,20692,372073,5572,203.1,10.8,214.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__andrewgodwin__urlman-12.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__andrewgodwin__urlman-12.trace.jsonl,andrewgodwin__urlman-12,qwen3.7-max,,21,21,11976,166530,5125,157.7,6.0,163.9,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__Netflix-Skunkworks__policyuniverse-147.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__Netflix-Skunkworks__policyuniverse-147.trace.jsonl,Netflix-Skunkworks__policyuniverse-147,qwen3.7-max,,18,21,13605,145004,5410,154.2,1.5,155.8,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__borgbackup__borg-8257.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__borgbackup__borg-8257.trace.jsonl,borgbackup__borg-8257,qwen3.7-max,,72,72,43606,1857426,22728,744.7,300.9,1046.6,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__vyperlang__vyper-3498.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__vyperlang__vyper-3498.trace.jsonl,vyperlang__vyper-3498,qwen3.7-max,,49,48,33236,860114,15517,476.4,396.4,873.4,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__macbre__sql-metadata-388.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__macbre__sql-metadata-388.trace.jsonl,macbre__sql-metadata-388,qwen3.7-max,,45,46,30486,722114,15866,436.2,16.9,453.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__ethereum__web3.py-3103.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__ethereum__web3.py-3103.trace.jsonl,ethereum__web3.py-3103,qwen3.7-max,,30,29,24159,409076,7028,225.6,38.4,264.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__eyurtsev__kor-306.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__eyurtsev__kor-306.trace.jsonl,eyurtsev__kor-306,qwen3.7-max,,46,55,38513,927365,28277,670.6,56.8,728.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__google__flax-4681.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__google__flax-4681.trace.jsonl,google__flax-4681,qwen3.7-max,,38,37,25616,606014,9362,292.4,11.2,303.9,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__spdx__tools-python-651.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__spdx__tools-python-651.trace.jsonl,spdx__tools-python-651,qwen3.7-max,,32,32,27941,589085,10662,304.9,71.3,376.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__discos__srt-single-dish-tools-268.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__discos__srt-single-dish-tools-268.trace.jsonl,discos__srt-single-dish-tools-268,qwen3.7-max,,27,28,15966,248557,6396,211.0,54.1,265.3,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__ArkEcosystem__python-crypto-116.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__ArkEcosystem__python-crypto-116.trace.jsonl,ArkEcosystem__python-crypto-116,qwen3.7-max,,26,29,16555,256723,5068,166.2,8.4,174.7,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__pypest__pyemu-542.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__pypest__pyemu-542.trace.jsonl,pypest__pyemu-542,qwen3.7-max,,78,77,65866,2852960,13953,552.7,110.1,664.2,>=64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__RDFLib__rdflib-2112.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__RDFLib__rdflib-2112.trace.jsonl,RDFLib__rdflib-2112,qwen3.7-max,,37,36,25816,496344,8028,263.6,15.2,279.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__networkx__networkx-6760.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__networkx__networkx-6760.trace.jsonl,networkx__networkx-6760,qwen3.7-max,,29,31,15764,266650,8697,243.2,7.3,250.7,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__scrapy__w3lib-202.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__scrapy__w3lib-202.trace.jsonl,scrapy__w3lib-202,qwen3.7-max,,22,21,18656,243211,3466,127.6,11.6,139.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__sanic-org__sanic-2606.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__sanic-org__sanic-2606.trace.jsonl,sanic-org__sanic-2606,qwen3.7-max,,32,34,25101,325846,5518,196.0,45.5,241.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__psf__black-2037.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__psf__black-2037.trace.jsonl,psf__black-2037,qwen3.7-max,,79,80,38715,1767677,83651,5633.2,44.0,5678.2,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__scipp__plopp-249.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__scipp__plopp-249.trace.jsonl,scipp__plopp-249,qwen3.7-max,,30,34,25016,476280,13601,448.9,49.7,498.9,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__joke2k__faker-1480.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__joke2k__faker-1480.trace.jsonl,joke2k__faker-1480,qwen3.7-max,,30,32,54183,569201,28785,624.5,54.6,679.4,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__CodeForPhilly__chime-418.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__CodeForPhilly__chime-418.trace.jsonl,CodeForPhilly__chime-418,qwen3.7-max,,69,79,68775,2660000,68334,3747.9,26.4,3775.7,>=64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__tobymao__sqlglot-4130.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__tobymao__sqlglot-4130.trace.jsonl,tobymao__sqlglot-4130,qwen3.7-max,,30,29,12698,217256,6753,249.3,18.1,267.6,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__statsmodels__statsmodels-9413.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__statsmodels__statsmodels-9413.trace.jsonl,statsmodels__statsmodels-9413,qwen3.7-max,,27,30,13064,235359,6727,199.3,32.7,232.1,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__borgbackup__borg-6529.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__borgbackup__borg-6529.trace.jsonl,borgbackup__borg-6529,qwen3.7-max,,55,56,28846,839866,20296,556.1,135.5,692.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__matchms__matchms-212.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__matchms__matchms-212.trace.jsonl,matchms__matchms-212,qwen3.7-max,,35,39,36248,703069,8104,298.3,51.9,350.6,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__anchore__anchore-cli-101.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__anchore__anchore-cli-101.trace.jsonl,anchore__anchore-cli-101,qwen3.7-max,,63,62,37302,1152796,23872,694.1,16.3,711.1,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__SpikeInterface__spikeinterface-3737.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__SpikeInterface__spikeinterface-3737.trace.jsonl,SpikeInterface__spikeinterface-3737,qwen3.7-max,,62,64,55653,1947034,30348,1405.0,89.5,1495.4,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__Dorthu__openapi3-30.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__Dorthu__openapi3-30.trace.jsonl,Dorthu__openapi3-30,qwen3.7-max,,25,25,18882,298578,3544,131.8,12.5,144.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__AzureAD__microsoft-authentication-library-for-python-315.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__AzureAD__microsoft-authentication-library-for-python-315.trace.jsonl,AzureAD__microsoft-authentication-library-for-python-315,qwen3.7-max,,51,50,37258,1005793,36080,829.4,40.5,870.5,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__cevans87__atools-52.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__cevans87__atools-52.trace.jsonl,cevans87__atools-52,qwen3.7-max,,35,36,23766,518684,6345,267.5,15.9,283.7,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__joke2k__faker-1937.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__joke2k__faker-1937.trace.jsonl,joke2k__faker-1937,qwen3.7-max,,31,30,16333,294972,4916,194.3,11.3,205.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__E3SM-Project__e3sm_to_cmip-203.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__E3SM-Project__e3sm_to_cmip-203.trace.jsonl,E3SM-Project__e3sm_to_cmip-203,qwen3.7-max,,84,84,57816,2580997,23872,1201.1,1492.0,2694.4,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__jboss-dockerfiles__dogen-196.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__jboss-dockerfiles__dogen-196.trace.jsonl,jboss-dockerfiles__dogen-196,qwen3.7-max,,44,46,22830,622331,11097,345.3,18.4,364.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__planetlabs__planet-client-python-805.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__planetlabs__planet-client-python-805.trace.jsonl,planetlabs__planet-client-python-805,qwen3.7-max,,39,40,32607,708395,17170,430.6,0.4,431.3,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__ZeroTwentyFifty__pact_methodology-51.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__ZeroTwentyFifty__pact_methodology-51.trace.jsonl,ZeroTwentyFifty__pact_methodology-51,qwen3.7-max,,56,59,56765,1441081,22693,633.0,25.1,658.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__eigenein__protobuf-174.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__eigenein__protobuf-174.trace.jsonl,eigenein__protobuf-174,qwen3.7-max,,30,33,26467,494127,30464,657.2,27.9,685.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__mhostetter__galois-206.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__mhostetter__galois-206.trace.jsonl,mhostetter__galois-206,qwen3.7-max,,66,97,49098,1848697,56195,3251.3,79.7,3331.9,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__PyCQA__doc8-46.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__PyCQA__doc8-46.trace.jsonl,PyCQA__doc8-46,qwen3.7-max,,40,50,24876,543090,9670,300.7,16.4,317.4,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__python-cmd2__cmd2-699.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__python-cmd2__cmd2-699.trace.jsonl,python-cmd2__cmd2-699,qwen3.7-max,,61,62,42360,1721962,47212,1217.2,10.1,1228.2,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__ipython__ipykernel-1051.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__ipython__ipykernel-1051.trace.jsonl,ipython__ipykernel-1051,qwen3.7-max,,51,52,38227,912050,55769,7007.6,151.9,7160.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__geopandas__geopandas-1279.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__geopandas__geopandas-1279.trace.jsonl,geopandas__geopandas-1279,qwen3.7-max,,39,54,32830,580911,19689,627.1,16.4,643.8,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__nltk__nltk-2768.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__nltk__nltk-2768.trace.jsonl,nltk__nltk-2768,qwen3.7-max,,36,36,22541,496215,11318,346.0,17.3,363.6,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__numba__numba-6653.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__numba__numba-6653.trace.jsonl,numba__numba-6653,qwen3.7-max,,43,42,14969,342291,7457,231.1,1.8,233.1,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__oasis-open__cti-python-stix2-489.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__oasis-open__cti-python-stix2-489.trace.jsonl,oasis-open__cti-python-stix2-489,qwen3.7-max,,31,30,22523,395357,6518,248.7,17.2,266.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__simphony__tornado-webapi-19.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__simphony__tornado-webapi-19.trace.jsonl,simphony__tornado-webapi-19,qwen3.7-max,,31,30,18441,351021,4089,152.4,12.4,165.0,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__dwavesystems__dwave-system-279.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__dwavesystems__dwave-system-279.trace.jsonl,dwavesystems__dwave-system-279,qwen3.7-max,,42,45,29553,741313,10507,342.9,66.5,409.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__ReviewNB__treon-25.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__ReviewNB__treon-25.trace.jsonl,ReviewNB__treon-25,qwen3.7-max,,28,29,17917,264379,5751,193.0,44.5,237.7,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__spcl__pymlir-16.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__spcl__pymlir-16.trace.jsonl,spcl__pymlir-16,qwen3.7-max,,57,59,43571,1439478,16130,595.6,47.7,644.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__Azure__iotedgedev-173.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__Azure__iotedgedev-173.trace.jsonl,Azure__iotedgedev-173,qwen3.7-max,,39,48,28681,617000,10151,300.6,13.4,314.3,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__JelleZijlstra__ast_decompiler-34.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__JelleZijlstra__ast_decompiler-34.trace.jsonl,JelleZijlstra__ast_decompiler-34,qwen3.7-max,,85,86,42231,1936768,82912,4180.1,16.8,4198.0,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__asottile__dead-21.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__asottile__dead-21.trace.jsonl,asottile__dead-21,qwen3.7-max,,24,24,13985,218532,7485,208.6,3.3,212.0,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__NREL__rdtools-152.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__NREL__rdtools-152.trace.jsonl,NREL__rdtools-152,qwen3.7-max,,29,32,28267,434820,7005,230.2,39.3,269.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__stephenhillier__starlette_exporter-92.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__stephenhillier__starlette_exporter-92.trace.jsonl,stephenhillier__starlette_exporter-92,qwen3.7-max,,48,48,23875,642171,9202,325.3,9.9,335.6,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__pyvista__pyvista-5181.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__pyvista__pyvista-5181.trace.jsonl,pyvista__pyvista-5181,qwen3.7-max,,25,25,18473,274310,7150,208.1,17.5,225.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__scikit-rf__scikit-rf-1256.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__scikit-rf__scikit-rf-1256.trace.jsonl,scikit-rf__scikit-rf-1256,qwen3.7-max,,22,22,11599,144667,3792,141.7,17.6,159.4,<16K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__aws__chalice-1540.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__aws__chalice-1540.trace.jsonl,aws__chalice-1540,qwen3.7-max,,49,55,33187,987289,15787,461.4,88.4,550.4,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__openradar__xradar-162.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__openradar__xradar-162.trace.jsonl,openradar__xradar-162,qwen3.7-max,,36,35,20847,461249,7826,266.0,136.1,402.4,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__kofferdahl__heart_rate_sentinel_server-12.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__kofferdahl__heart_rate_sentinel_server-12.trace.jsonl,kofferdahl__heart_rate_sentinel_server-12,qwen3.7-max,,26,27,16515,231246,20326,458.9,79.3,538.4,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__sqlfluff__sqlfluff-3066.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__sqlfluff__sqlfluff-3066.trace.jsonl,sqlfluff__sqlfluff-3066,qwen3.7-max,,50,52,31092,807916,23294,610.1,26.6,637.1,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__cloudpassage__cloudpassage-halo-python-sdk-195.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__cloudpassage__cloudpassage-halo-python-sdk-195.trace.jsonl,cloudpassage__cloudpassage-halo-python-sdk-195,qwen3.7-max,,36,40,21787,459917,8064,269.1,17.2,286.6,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__nltk__nltk-2801.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__nltk__nltk-2801.trace.jsonl,nltk__nltk-2801,qwen3.7-max,,82,162,65010,2527081,76384,1907.2,37.3,1945.8,>=64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__diogommartins__simple_json_logger-14.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__diogommartins__simple_json_logger-14.trace.jsonl,diogommartins__simple_json_logger-14,qwen3.7-max,,26,29,16116,263435,28742,961.8,12.9,974.9,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__deepset-ai__haystack-5704.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__deepset-ai__haystack-5704.trace.jsonl,deepset-ai__haystack-5704,qwen3.7-max,,20,20,18521,217062,6021,191.0,30.7,221.8,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__pypa__setuptools_scm-505.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__pypa__setuptools_scm-505.trace.jsonl,pypa__setuptools_scm-505,qwen3.7-max,,56,62,42968,1559810,40105,927.4,117.6,1045.7,32-64K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__SteadBytes__aocpy-13.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__SteadBytes__aocpy-13.trace.jsonl,SteadBytes__aocpy-13,qwen3.7-max,,34,36,22631,468141,6228,225.1,26.1,251.5,16-32K
swe-rebench,swe-rebench-original-flat-644-20260904,swe100__encode__starlette-2711.trace.jsonl,/home/chiyu/workspace/agent-sched-bench/traces/exports/swe-rebench-original-flat-644-20260904/swe100__encode__starlette-2711.trace.jsonl,encode__starlette-2711,qwen3.7-max,,25,26,13382,217547,9435,250.7,14.6,265.4,<16K
